extras,matchphrases
Clean and clear cup,clean and clear cup;clean cup;clear cup;clean;clear
Balanced cup,balanced cup;balance cup;balanced;balance
Transparent cup,transparent cup;transparent
Creamy body,creamy body;creamy;cream body;cream
Big body,big body;large body;big;large
Round body,round body;round
Buttery Mouthfeel,buttery mouthfeel;buttery
Smooth Mouthfeel,smooth mouthfeel;smooth
Juicy Mouthfeel,juicy mouthfeel;juicy
Lingering Aftertaste,lingering aftertaste;lingering
Long Aftertaste,long aftertaste;long
